Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",121.78,-0.63,-0.51%,123.35,121.54,79075900,12/14/20
ADBE,"Adobe Systems Inc",486.42,10.51,+2.21%,488.41,475.5,3945100,12/14/20
ADI,"Analog Devices",142.33,1.18,+0.84%,143.93,141.65,2214400,12/14/20
ADP,"Automatic Data Procs",173.15,-0.38,-0.22%,175.81,172.29,3068700,12/14/20
ADSK,"Autodesk Inc",288.33,8.65,+3.09%,293.48,280.05,1743900,12/14/20
ALGN,"Align Technology",504.31,-2.77,-0.55%,522.34,502.31,426900,12/14/20
ALXN,"Alexion Pharm Inc",156.31,35.33,+29.20%,160.03,155.98,22390500,12/14/20
AMAT,"Applied Materials",88.5,0.2,+0.23%,90.52,88.32,6425400,12/14/20
AMD,"Adv Micro Devices",94.78,3.13,+3.42%,95.41,91.85,48026400,12/14/20
AMGN,"Amgen Inc",229.46,2.06,+0.91%,232.19,227.58,2904700,12/14/20
AMZN,"Amazon.com Inc",3156.97,40.55,+1.30%,3190.47,3126,4155700,12/14/20
ANSS,"Ansys Inc",343.39,8.21,+2.45%,346.31,335.26,426100,12/14/20
ASML,"Asml Hld NY Reg",452.99,0.36000000000001,+0.08%,456.82,452.17,546000,12/14/20
ATVI,"Activision Blizzard",85.94,2.26,+2.70%,86.26,84.07,7506400,12/14/20
AVGO,"Broadcom Ltd",411.8,5.98,+1.47%,414.3,406,2611600,12/14/20
BIDU,"Baidu Inc",162.96,1.72,+1.07%,167.29,162.82,4907200,12/14/20
BIIB,"Biogen Inc",245.25,3.82,+1.58%,250.88,242.98,1561000,12/14/20
BKNG,"Booking Holdings Inc",2066.01,-23.2,-1.11%,2143.06,2065.08,339200,12/14/20
BMRN,"Biomarin Pharmaceuticals",82.85,3.36,+4.23%,84.95,80.93,2557900,12/14/20
CDNS,"Cadence Design Sys",121.31,2.79,+2.35%,122.02,118.41,1357200,12/14/20
CDW,"CDW Corp",131.73,1.03,+0.79%,134.11,130.75,937000,12/14/20
CERN,"Cerner Corp",74.25,-0.26000000000001,-0.35%,75.03,74.14,1521900,12/14/20
CHKP,"Check Point Software",122.52,2.2,+1.83%,123.52,120.07,1122600,12/14/20
CHTR,"Charter Communicatio",649.67,-2.09,-0.32%,656.24,649.11,1284600,12/14/20
CMCSA,"Comcast Corp A",50.99,0.060000000000002,+0.12%,51.27,50.75,14005700,12/14/20
COST,"Costco Wholesale",374.38,-0.72000000000003,-0.19%,378.18,373.21,2778400,12/14/20
CPRT,"Copart Inc",118.29,1.31,+1.12%,119.94,117.14,1874600,12/14/20
CSCO,"Cisco Systems Inc",44.24,-0.079999999999998,-0.18%,44.91,44.15,16112300,12/14/20
CSX,"CSX Corp",88.92,-1.51,-1.67%,91.33,88.89,2612300,12/14/20
CTAS,"Cintas Corp",347.26,-1.85,-0.53%,351.71,346.31,339400,12/14/20
CTSH,"Cognizant Tech Sol",79.19,0.67999999999999,+0.87%,79.49,78.61,2640600,12/14/20
CTXS,"Citrix Systems Inc",128.43,-2.22,-1.70%,131.82,127.9,1955800,12/14/20
DLTR,"Dollar Tree Inc",107.68,1.13,+1.06%,108.25,106.27,2760500,12/14/20
DOCU,"Docusign Inc",228.33,2.84,+1.26%,228.79,222.7,2373400,12/14/20
DXCM,Dexcom,353.59,5.88,+1.69%,358.94,348.04,1547500,12/14/20
EA,"Electronic Arts Inc",137.54,1.74,+1.28%,138.59,136.6,3356900,12/14/20
EBAY,"Ebay Inc",49.57,0.44,+0.90%,50.5,49.23,9127300,12/14/20
EXC,"Exelon Corp",41.06,-0.13,-0.32%,42.09,41.03,4025600,12/14/20
EXPE,"Expedia Group Inc",123.33,0.31,+0.25%,125,122.2,2774000,12/14/20
FAST,"Fastenal Company",49.22,0.009999999999998,+0.02%,49.86,49.19,2502100,12/14/20
FB,"Facebook Inc",274.19,0.63999999999999,+0.23%,277.22,271.56,16376800,12/14/20
FISV,"Fiserv Inc",113.63,-1.19,-1.04%,115.8,113.53,3691700,12/14/20
FOX,"Fox Corp Cl B",28.34,-0.38,-1.32%,29.19,28.32,1087200,12/14/20
FOXA,"Fox Corp Cl A",28.78,-0.54,-1.84%,29.77,28.76,4596200,12/14/20
GILD,"Gilead Sciences Inc",59.84,-0.91999999999999,-1.51%,60.42,59.75,12232900,12/14/20
GOOG,"Alphabet Cl C",1760.06,-21.71,-1.22%,1797.39,1757.21,1600100,12/14/20
